rcp,year,gcm,iam,value
rcp45,2086,surrogate_MRI-CGCM3_11,high,1.8154226158234228
rcp45,2087,surrogate_MRI-CGCM3_11,high,2.3741795686950784
rcp45,2088,surrogate_MRI-CGCM3_11,high,-2.1271575541004104
rcp45,2089,surrogate_MRI-CGCM3_11,high,5.894644884316174
rcp45,2090,surrogate_MRI-CGCM3_11,high,5.168685748030248
rcp45,2091,surrogate_MRI-CGCM3_11,high,0.07902218079840705
rcp45,2092,surrogate_MRI-CGCM3_11,high,7.977107009689136
rcp45,2093,surrogate_MRI-CGCM3_11,high,3.474060252479752
rcp45,2094,surrogate_MRI-CGCM3_11,high,8.759581525969702
rcp45,2095,surrogate_MRI-CGCM3_11,high,1.370995888304535
rcp45,2096,surrogate_MRI-CGCM3_11,high,5.470778366892288
rcp45,2097,surrogate_MRI-CGCM3_11,high,2.946297214109419
rcp45,2098,surrogate_MRI-CGCM3_11,high,4.9610055609994195
rcp45,2099,surrogate_MRI-CGCM3_11,high,4.423609387264983
rcp45,2080,surrogate_GFDL-ESM2G_01,low,5.943032768468553
rcp45,2081,surrogate_GFDL-ESM2G_01,low,8.735894457886069
rcp45,2082,surrogate_GFDL-ESM2G_01,low,20.431390550655085
rcp45,2083,surrogate_GFDL-ESM2G_01,low,13.252535945272784
rcp45,2084,surrogate_GFDL-ESM2G_01,low,11.90331131647963
rcp45,2085,surrogate_GFDL-ESM2G_01,low,10.461075212763678
rcp45,2086,surrogate_GFDL-ESM2G_01,low,6.654605633923899
rcp45,2087,surrogate_GFDL-ESM2G_01,low,7.2584686515590455
rcp45,2088,surrogate_GFDL-ESM2G_01,low,11.813139114224539
rcp45,2089,surrogate_GFDL-ESM2G_01,low,5.274289879786169
rcp45,2090,surrogate_GFDL-ESM2G_01,low,3.4705138857279922
rcp45,2091,surrogate_GFDL-ESM2G_01,low,12.274577350158486
rcp45,2092,surrogate_GFDL-ESM2G_01,low,6.464465816541056
rcp45,2093,surrogate_GFDL-ESM2G_01,low,6.1646882789701625
rcp45,2094,surrogate_GFDL-ESM2G_01,low,0.5389364869397635
rcp45,2095,surrogate_GFDL-ESM2G_01,low,14.103413739225235
rcp45,2096,surrogate_GFDL-ESM2G_01,low,5.964003536768659
rcp45,2097,surrogate_GFDL-ESM2G_01,low,10.383978219165712
rcp45,2098,surrogate_GFDL-ESM2G_01,low,22.068425820938437
rcp45,2099,surrogate_GFDL-ESM2G_01,low,1.4382418199081988
rcp45,2080,GFDL-ESM2M,high,12.541195794326113
rcp45,2081,GFDL-ESM2M,high,11.632860476858111
rcp45,2082,GFDL-ESM2M,high,19.6809500815494
rcp45,2083,GFDL-ESM2M,high,4.464531727714325
rcp45,2084,GFDL-ESM2M,high,12.118464051998036
rcp45,2085,GFDL-ESM2M,high,0.7955938939957764
rcp45,2086,GFDL-ESM2M,high,5.502739252984171
rcp45,2087,GFDL-ESM2M,high,6.511838006934839
rcp45,2088,GFDL-ESM2M,high,7.629653351906277
rcp45,2089,GFDL-ESM2M,high,2.739987629920651
rcp45,2090,GFDL-ESM2M,high,10.640673996874826
rcp45,2091,GFDL-ESM2M,high,7.26354595288794
rcp45,2092,GFDL-ESM2M,high,9.835146734666383
rcp45,2093,GFDL-ESM2M,high,13.547759205427253
rcp45,2094,GFDL-ESM2M,high,10.572540792562505
rcp45,2095,GFDL-ESM2M,high,12.001417215537986
rcp45,2096,GFDL-ESM2M,high,9.392754118747565
rcp45,2097,GFDL-ESM2M,high,12.842539290396852
rcp45,2098,GFDL-ESM2M,high,7.470421368005828
rcp45,2099,GFDL-ESM2M,high,5.561252164037385
rcp45,2080,surrogate_CanESM2_99,low,38.76839449771847
rcp45,2081,surrogate_CanESM2_99,low,38.038302149398035
rcp45,2082,surrogate_CanESM2_99,low,44.12277980804129
rcp45,2083,surrogate_CanESM2_99,low,34.23346390704716
rcp45,2084,surrogate_CanESM2_99,low,40.681243548499666
rcp45,2085,surrogate_CanESM2_99,low,37.435946327903515
rcp45,2086,surrogate_CanESM2_99,low,36.64409240512115
rcp45,2087,surrogate_CanESM2_99,low,39.710734541745836
rcp45,2088,surrogate_CanESM2_99,low,29.232744330931897
rcp45,2089,surrogate_CanESM2_99,low,49.186052110117046
rcp45,2090,surrogate_CanESM2_99,low,38.071116840894646
rcp45,2091,surrogate_CanESM2_99,low,39.14830871622387
rcp45,2092,surrogate_CanESM2_99,low,42.11459369386933
rcp45,2093,surrogate_CanESM2_99,low,37.51947449202048
rcp45,2094,surrogate_CanESM2_99,low,35.93330329722512
rcp45,2095,surrogate_CanESM2_99,low,44.44418267211228
rcp45,2096,surrogate_CanESM2_99,low,39.4973259975784
rcp45,2097,surrogate_CanESM2_99,low,48.325763388132344
rcp45,2098,surrogate_CanESM2_99,low,49.658131781234445
rcp45,2099,surrogate_CanESM2_99,low,50.96197124351558
rcp45,2080,GFDL-ESM2G,low,6.9316219024348
rcp45,2081,GFDL-ESM2G,low,11.260233958359311
rcp45,2082,GFDL-ESM2G,low,21.968759411545992
rcp45,2083,GFDL-ESM2G,low,14.458620526032053
rcp45,2084,GFDL-ESM2G,low,13.82426723790416
rcp45,2085,GFDL-ESM2G,low,10.54761504507902
rcp45,2086,GFDL-ESM2G,low,9.040666017680746
rcp45,2087,GFDL-ESM2G,low,8.821998047786321
rcp45,2088,GFDL-ESM2G,low,13.50254332120833
rcp45,2089,GFDL-ESM2G,low,6.391572082823019
rcp45,2090,GFDL-ESM2G,low,6.766709427425447
rcp45,2091,GFDL-ESM2G,low,12.237603762417375
rcp45,2092,GFDL-ESM2G,low,8.605932744503962
rcp45,2093,GFDL-ESM2G,low,7.636067010463915
rcp45,2094,GFDL-ESM2G,low,2.1326038519127923
rcp45,2095,GFDL-ESM2G,low,15.187417378366904
rcp45,2096,GFDL-ESM2G,low,8.15283759611429
rcp45,2097,GFDL-ESM2G,low,12.42276123221734
rcp45,2098,GFDL-ESM2G,low,23.65378757396449
rcp45,2099,GFDL-ESM2G,low,3.154977139556277
rcp45,2080,NorESM1-M,high,7.436079244324343
rcp45,2081,NorESM1-M,high,5.658491026431313
rcp45,2082,NorESM1-M,high,10.324129340038452
rcp45,2083,NorESM1-M,high,14.877240070679248
rcp45,2084,NorESM1-M,high,14.552537174779568
rcp45,2085,NorESM1-M,high,17.58443830415857
rcp45,2086,NorESM1-M,high,8.83883560405192
