country,price,start_year,end_year,n_obs,annual_growth_rate_pct
ESP,leadpremHOUSEHOLDS_a,1978,2006,28,-1.22
ESP,lfoHOUSEHOLDS_atpric,1978,2016,38,1.36
ESP,lfoINDUSTRY_atprice,1978,2016,38,1.36
ESP,lpgHOUSEHOLDS_atpric,2000,2016,16,1.45
ESP,lpgINDUSTRY_atprice,2000,2016,16,1.45
ESP,lsfoINDUSTRY_atprice,1995,2016,21,1.02
ESP,natgasHOUSEHOLDS_atp,1978,2016,38,.56
ESP,natgasINDUSTRY_atpri,1978,2016,38,-.63
ESP,unprem95HOUSEHOLDS_a,1992,2016,24,.33000001
ESP,dieselHOUSEHOLDS_pri,1978,2016,38,1.48
ESP,electrHOUSEHOLDS_pri,1978,2016,38,1.22
ESP,leadpremHOUSEHOLDS_p,1978,2006,28,.5
ESP,lfoHOUSEHOLDS_price,1978,2016,38,2.4400001
ESP,lpgHOUSEHOLDS_price,2000,2016,16,1.54
ESP,natgasHOUSEHOLDS_pri,1978,2016,38,1.16
ESP,unprem95HOUSEHOLDS_p,1992,2016,24,-.55000001
ESP,cokcoalINDUSTRY_pric,1978,1985,7,-6.8699999
ESP,dieselINDUSTRY_price,1978,2016,38,.98000002
ESP,electrINDUSTRY_price,1978,2016,38,.88999999
ESP,hsfoINDUSTRY_price,1978,2003,25,.51999998
ESP,lfoINDUSTRY_price,1978,2016,38,1.92
ESP,lpgINDUSTRY_price,2000,2016,16,1.28
ESP,lsfoINDUSTRY_price,1995,2016,21,.83999997
ESP,natgasINDUSTRY_price,1978,2016,38,-.56999999
EST,dieselHOUSEHOLDS_atp,2005,2016,11,-2.0999999
EST,dieselINDUSTRY_atpri,2005,2016,11,-2.0999999
EST,electrHOUSEHOLDS_atp,2008,2016,8,-.31999999
EST,electrINDUSTRY_atpri,2008,2016,8,-.34999999
EST,lfoHOUSEHOLDS_atpric,2005,2016,11,-1.97
EST,lfoINDUSTRY_atprice,2005,2016,11,-1.97
EST,lpgHOUSEHOLDS_atpric,2005,2016,11,-2.01
EST,lpgINDUSTRY_atprice,2005,2016,11,-2.01
EST,natgasHOUSEHOLDS_atp,2008,2016,8,-6.8699999
EST,natgasINDUSTRY_atpri,2008,2016,8,-7.3899999
EST,unprem95HOUSEHOLDS_a,2005,2016,11,-1.23
EST,dieselHOUSEHOLDS_pri,2005,2016,11,-.5
EST,electrHOUSEHOLDS_pri,2008,2016,8,-.090000004
EST,lfoHOUSEHOLDS_price,2005,2016,11,-.68000001
EST,lpgHOUSEHOLDS_price,2005,2016,11,-1.67
EST,natgasHOUSEHOLDS_pri,2008,2016,8,-5.9099998
EST,unprem95HOUSEHOLDS_p,2005,2016,11,-.20999999
EST,dieselINDUSTRY_price,2005,2016,11,-.64999998
EST,electrINDUSTRY_price,2008,2016,8,.69
EST,lfoINDUSTRY_price,2005,2016,11,-.82999998
EST,lpgINDUSTRY_price,2005,2016,11,-1.8200001
EST,natgasINDUSTRY_price,2008,2016,8,-6.21
FIN,bitcoalINDUSTRY_atpr,1978,2016,38,-1.5
FIN,cokcoalINDUSTRY_atpr,1995,2016,21,.63
FIN,dieselHOUSEHOLDS_atp,1978,2016,38,-.029999999
FIN,dieselINDUSTRY_atpri,1978,2016,38,-.029999999
FIN,electrHOUSEHOLDS_atp,1978,2016,38,-.97000003
FIN,electrINDUSTRY_atpri,1978,2016,38,-1.4400001
FIN,hsfoINDUSTRY_atprice,1978,1992,14,-1.97
FIN,leadpremHOUSEHOLDS_a,1978,1993,15,-4.1500001
FIN,lfoHOUSEHOLDS_atpric,1978,2016,38,.19
FIN,lfoINDUSTRY_atprice,1978,2016,38,.19
FIN,lsfoINDUSTRY_atprice,1993,2010,17,6.8000002
FIN,natgasHOUSEHOLDS_atp,1978,2000,22,-2.9000001
FIN,natgasINDUSTRY_atpri,1978,2016,38,-.34
FIN,unprem95HOUSEHOLDS_a,1990,2016,26,-2.1099999
FIN,unprem98HOUSEHOLDS_a,1994,2016,22,1.1900001
FIN,dieselHOUSEHOLDS_pri,1978,2016,38,1.02
FIN,electrHOUSEHOLDS_pri,1978,2016,38,-.02
FIN,leadpremHOUSEHOLDS_p,1978,1993,15,0
FIN,lfoHOUSEHOLDS_price,1978,2016,38,1.85
FIN,natgasHOUSEHOLDS_pri,1978,2000,22,-1.4400001
FIN,unprem95HOUSEHOLDS_p,1990,2016,26,-.38999999
FIN,unprem98HOUSEHOLDS_p,1994,2016,22,.74000001
FIN,bitcoalINDUSTRY_pric,1978,2016,38,1.87
FIN,cokcoalINDUSTRY_pric,1995,2016,21,3.75
FIN,dieselINDUSTRY_price,1978,2016,38,.44999999
FIN,electrINDUSTRY_price,1978,2016,38,-1.33
FIN,hsfoINDUSTRY_price,1978,1992,14,-1.71
FIN,lfoINDUSTRY_price,1978,2016,38,1.27
FIN,lsfoINDUSTRY_price,1993,2010,17,7.0300002
FIN,natgasINDUSTRY_price,1978,2016,38,1.15
FRA,bitcoalHOUSEHOLDS_at,1978,2002,24,-2.25
FRA,bitcoalINDUSTRY_atpr,1978,2003,25,-.34999999
FRA,cokcoalINDUSTRY_atpr,1978,2011,33,2.05
FRA,dieselHOUSEHOLDS_atp,1978,2016,38,-.07
FRA,dieselINDUSTRY_atpri,1978,2016,38,-.039999999
FRA,electrHOUSEHOLDS_atp,1978,2016,38,-1.3099999
FRA,electrINDUSTRY_atpri,1978,2016,38,-.41
FRA,hsfoINDUSTRY_atprice,1978,2009,31,1.6
FRA,leadpremHOUSEHOLDS_a,1978,2006,28,.60000002
FRA,lfoHOUSEHOLDS_atpric,1978,2016,38,.31
FRA,lfoINDUSTRY_atprice,1978,2016,38,.28
FRA,lpgHOUSEHOLDS_atpric,2000,2016,16,1.1799999
FRA,lpgINDUSTRY_atprice,2000,2016,16,1.1799999
FRA,lsfoINDUSTRY_atprice,1993,2016,23,4.04
FRA,natgasHOUSEHOLDS_atp,1978,2016,38,-.12
FRA,natgasINDUSTRY_atpri,1978,2016,38,.68000001
FRA,unprem95HOUSEHOLDS_a,1990,2016,26,.43000001
FRA,unprem98HOUSEHOLDS_a,1990,2016,26,.44
FRA,bitcoalHOUSEHOLDS_pr,1978,2002,24,-2.1800001
FRA,dieselHOUSEHOLDS_pri,1978,2016,38,.07
FRA,electrHOUSEHOLDS_pri,1978,2016,38,-.69999999
FRA,leadpremHOUSEHOLDS_p,1978,2006,28,.63999999
FRA,lfoHOUSEHOLDS_price,1978,2016,38,.62
FRA,lpgHOUSEHOLDS_price,2000,2016,16,1.14
FRA,natgasHOUSEHOLDS_pri,1978,2016,38,.13
FRA,unprem95HOUSEHOLDS_p,1990,2016,26,-.38999999
FRA,unprem98HOUSEHOLDS_p,1990,2016,26,-.34999999
FRA,bitcoalINDUSTRY_pric,1978,2003,25,-.34999999
