rho,eta,year,ssp,discount_factor
0.0,1,2151,SSP4,0.3230779116194699
0.0,1,2151,SSP5,0.045746752163091285
0.0,1,2152,SSP1,0.09950055678613558
0.0,1,2152,SSP2,0.12919144345759745
0.0,1,2152,SSP3,0.48830370563470743
0.0,1,2152,SSP4,0.3211484855361415
0.0,1,2152,SSP5,0.044846192030217655
0.0,1,2153,SSP1,0.09813062051930717
0.0,1,2153,SSP2,0.12740449665667122
0.0,1,2153,SSP3,0.48617060348616414
0.0,1,2153,SSP4,0.3192305820140193
0.0,1,2153,SSP5,0.04396336011879306
0.0,1,2154,SSP1,0.09677954570849258
0.0,1,2154,SSP2,0.12564226649938545
0.0,1,2154,SSP3,0.48404681956462525
0.0,1,2154,SSP4,0.3173241322401969
0.0,1,2154,SSP5,0.04309790743509207
0.0,1,2155,SSP1,0.09544707266677674
0.0,1,2155,SSP2,0.12390441111072044
0.0,1,2155,SSP3,0.4819323131644194
0.0,1,2155,SSP4,0.3154290678127194
0.0,1,2155,SSP5,0.04224949185560016
0.0,1,2156,SSP1,0.09413294528264692
0.0,1,2156,SSP2,0.12219059334439429
0.0,1,2156,SSP3,0.4798270437576939
0.0,1,2156,SSP4,0.31354532073812935
0.0,1,2156,SSP5,0.041417777991768316
0.0,1,2157,SSP1,0.09283691097076616
0.0,1,2157,SSP2,0.1205004807174562
0.0,1,2157,SSP3,0.47773097099363765
0.0,1,2157,SSP4,0.31167282342902747
0.0,1,2157,SSP5,0.04060243705743002
0.0,1,2158,SSP1,0.09155872062342435
0.0,1,2158,SSP2,0.11883374534578427
0.0,1,2158,SSP3,0.47564405469770743
0.0,1,2158,SSP4,0.30981150870164725
0.0,1,2158,SSP5,0.039803146738828274
0.0,1,2159,SSP1,0.09029812856265794
0.0,1,2159,SSP2,0.11719006388047556
0.0,1,2159,SSP3,0.4735662548708585
0.0,1,2159,SSP4,0.3079613097734446
0.0,1,2159,SSP5,0.03901959106720121
0.0,1,2160,SSP1,0.08905489249302867
0.0,1,2160,SSP2,0.11556911744511593
0.0,1,2160,SSP3,0.4714975316887775
0.0,1,2160,SSP4,0.30612216026070194
0.0,1,2160,SSP5,0.03825146029387597
0.0,1,2161,SSP1,0.08782877345505255
0.0,1,2161,SSP2,0.11397059157391766
0.0,1,2161,SSP3,0.4694378455011193
0.0,1,2161,SSP4,0.30429399417614617
0.0,1,2161,SSP5,0.03749845076782144
0.0,1,2162,SSP1,0.08661953577927002
0.0,1,2162,SSP2,0.11239417615071258
0.0,1,2162,SSP3,0.46738715683074683
0.0,1,2162,SSP4,0.302476745926581
0.0,1,2162,SSP5,0.03676026481561148
0.0,1,2163,SSP1,0.08542694704094854
0.0,1,2163,SSP2,0.11083956534878919
0.0,1,2163,SSP3,0.4653454263729751
0.0,1,2163,SSP4,0.30067035031053396
0.0,1,2163,SSP5,0.03603661062375115
0.0,1,2164,SSP1,0.08425077801540863
0.0,1,2164,SSP2,0.10930645757156182
0.0,1,2164,SSP3,0.4633126149948171
0.0,1,2164,SSP4,0.29887474251591656
0.0,1,2164,SSP5,0.03532720212331942
0.0,1,2165,SSP1,0.08309080263396533
0.0,1,2165,SSP2,0.10779455539406049
0.0,1,2165,SSP3,0.4612886837342341
0.0,1,2165,SSP4,0.2970898581176991
0.0,1,2165,SSP5,0.034631758876882836
0.0,1,2166,SSP1,0.0819467979404759
0.0,1,2166,SSP2,0.1063035655052301
