time,regions,cooling
2749,MDE,-93.1493098002182
2749,CAM,-34.62407916543074
2749,LAM,-164.41552211000032
2749,SAS,-100.74765016290034
2749,SEA,-280.47647161183716
2749,CHI,-1184.0801362102638
2749,MAF,-169.42089396061888
2749,SSA,-175.01566446487737
2749,SIS,-5.699101430271639
2750,USA,-328.28490924171825
2750,CAN,-24.100131615997267
2750,WEU,-587.9632052622508
2750,JPK,-39.41514949525096
2750,ANZ,-2.2733888255965846
2750,EEU,-18.19065135013284
2750,FSU,-55.84394795471101
2750,MDE,-92.98737141862425
2750,CAM,-34.56128732609293
2750,LAM,-164.14623296188654
2750,SAS,-100.56452648708121
2750,SEA,-279.9861969443435
2750,CHI,-1182.0175623238429
2750,MAF,-169.11020496572038
2750,SSA,-174.71455837267462
2750,SIS,-5.689700705627957
2751,USA,-327.7472130192311
2751,CAN,-24.06109439759568
2751,WEU,-586.9771754704311
2751,JPK,-39.3487681289518
2751,ANZ,-2.2695292143840575
2751,EEU,-18.15830110068131
2751,FSU,-55.72644104046669
2751,MDE,-92.82582010784813
2751,CAM,-34.49865477059676
2751,LAM,-163.87752922162804
2751,SAS,-100.38186953544279
2751,SEA,-279.49710668749714
2751,CHI,-1179.959999926245
2751,MAF,-168.80033044025566
2751,SSA,-174.41416507723486
2751,SIS,-5.680320799479018
2752,USA,-327.2106897481423
2752,CAN,-24.022141184194478
2752,WEU,-585.9933910599844
2752,JPK,-39.2825376853456
2752,ANZ,-2.2656784895814495
2752,EEU,-18.12603142693755
2752,FSU,-55.60930294296032
2752,MDE,-92.66465457912791
2752,CAM,-34.43618093520351
2752,LAM,-163.6094091434566
2752,SAS,-100.1996776434997
2752,SEA,-279.009196819887
2752,CHI,-1177.9074316042172
2752,MAF,-168.49126730212
2752,SSA,-174.11448219495486
2752,SIS,-5.670961647674431
2753,USA,-326.6753358858329
2753,CAN,-23.983271724430132
2753,WEU,-585.011844812802
2753,JPK,-39.21645769075045
2753,ANZ,-2.261836622893725
2753,EEU,-18.093842044380107
2753,FSU,-55.49253200819185
2753,MDE,-92.50387354928597
2753,CAM,-34.37386525875658
2753,LAM,-163.34187098840627
2753,SAS,-100.01794915447249
2753,SEA,-278.5224633381238
2753,CHI,-1175.8598400257947
2753,MAF,-168.18301248487924
2753,SSA,-173.81550735286604
2753,SIS,-5.6616231863249
2754,USA,-326.1411479038922
2754,CAN,-23.94448576794451
2754,WEU,-584.0325295421379
2754,JPK,-39.150527673415205
2754,ANZ,-2.2580035861427317
2754,EEU,-18.061732669814873
2754,FSU,-55.37612659181141
2754,MDE,-92.34347574070007
2754,CAM,-34.31170718266745
2754,LAM,-163.07491302428184
2754,SAS,-99.83668241924524
2754,SEA,-278.03690225674364
2754,CHI,-1173.8172079398353
2754,MAF,-167.87556293767165
2754,SSA,-173.5172381885766
2754,SIS,-5.652305351800972
2755,USA,-325.60812228804923
2755,CAN,-23.905783065380035
2755,WEU,-583.0554380924409
2755,JPK,-39.084747163510244
2755,ANZ,-2.254179351266641
2755,EEU,-18.0297030213676
2755,FSU,-55.260085059051306
2755,MDE,-92.18345988127497
2755,CAM,-34.249706150901744
2755,LAM,-162.80853352562772
2755,SAS,-99.65587579632312
2755,SEA,-277.55250960811
2755,CHI,-1171.7795181755569
2755,MAF,-167.56891562510972
2755,SSA,-173.21967235021395
2755,SIS,-5.643008080731754
2756,USA,-325.0762555381022
2756,CAN,-23.86716336837479
2756,WEU,-582.0805633391852
2756,JPK,-39.019115693118195
2756,ANZ,-2.2503638903193703
2756,EEU,-17.997752818476425
2756,FSU,-55.14440578465865
2756,MDE,-92.02382470441407
2756,CAM,-34.18786160996526
2756,LAM,-162.54273077369731
2756,SAS,-99.47552765179033
2756,SEA,-277.0692814423166
2756,CHI,-1169.7467536420716
2756,MAF,-167.2630675271834
2756,SSA,-172.92280749636714
2756,SIS,-5.633731310003672
2757,USA,-324.54554416785106
2757,CAN,-23.828626429557595
2757,WEU,-581.1078981887022
2757,JPK,-38.95363279622477
2757,ANZ,-2.24655717547003
2757,EEU,-17.96588178188446
2757,FSU,-55.02908715282845
2757,MDE,-91.86456894899078
2757,CAM,-34.1261730088901
